payment_type,payment_txn_id,payment_txn_success,failure_reason
Wallet,42142,N,Invalid Card
UPI,24074,N,Invalid CVV
Card,54937,N,Invalid CVV
Card,54612,N,Invalid Internet Banking Account
Internet Banking,66886,N,Invalid Internet Banking Account
UPI,36006,Y, 
Card,38796,N,Invalid UPI Account
Wallet,58970,N,Invalid Card
UPI,91485,N,Invalid Internet Banking Account
Internet Banking,14327,Y, 
UPI,97450,N,Invalid Card
Internet Banking,38685,N,Invalid CVV
Card,67943,N,Invalid Internet Banking Account
Wallet,69932,N,Invalid Card
Card,15887,N,Invalid Card
Internet Banking,47947,Y, 
Card,59926,N,Invalid CVV
Wallet,30544,N,Invalid Internet Banking Account
Wallet,59585,Y, 
Internet Banking,62475,Y, 
Internet Banking,43937,N,Invalid CVV
Wallet,62148,Y, 
Wallet,78979,N,Invalid Internet Banking Account
Card,89778,Y, 
Internet Banking,82829,Y, 
UPI,72858,N,Invalid CVV
Card,22706,N,Invalid UPI Account
UPI,53186,N,Invalid CVV
Card,96038,Y, 
Wallet,39364,N,Invalid Internet Banking Account
Internet Banking,36756,Y, 
Wallet,79689,Y, 
Card,25878,N,Invalid Card
Card,20901,Y, 
Card,74147,Y, 
Internet Banking,76156,N,Invalid CVV
Internet Banking,87258,N,Invalid Card
UPI,28456,N,Invalid UPI Account
Internet Banking,80455,N,Invalid Card
Card,60017,Y, 
UPI,84262,N,Invalid Card
Internet Banking,71787,N,Invalid Card
UPI,21104,Y, 
Wallet,80671,Y, 
Card,81884,Y, 
UPI,66984,Y, 
Internet Banking,46326,Y, 
Wallet,94299,N,Invalid UPI Account
Card,27720,Y, 
Internet Banking,33168,Y, 
Wallet,71334,Y, 
Card,89486,Y, 
Internet Banking,19824,N,Invalid CVV
UPI,65796,N,Invalid Internet Banking Account
Wallet,84279,N,Invalid Internet Banking Account
UPI,65680,N,Invalid CVV
Wallet,39440,N,Invalid Card
Wallet,19566,Y, 
UPI,46929,N,Invalid Internet Banking Account
Wallet,97477,Y, 
Internet Banking,78637,N,Invalid Card
Wallet,23019,Y, 
Wallet,67796,Y, 
Card,77927,Y, 
UPI,68237,Y, 
UPI,64958,Y, 
Wallet,59992,Y, 
Wallet,33093,Y, 
Wallet,95714,Y, 
UPI,11483,Y, 
Internet Banking,59550,Y, 
Wallet,85970,Y, 
Wallet,32312,N,Invalid UPI Account
Internet Banking,43265,Y, 
Internet Banking,10151,Y, 
Wallet,67310,N,Invalid Card
UPI,93860,N,Invalid CVV
UPI,44864,Y, 
UPI,60154,Y, 
Card,89011,Y, 
Card,69079,Y, 
UPI,43960,Y, 
Card,32561,N,Invalid Card
Wallet,11473,Y, 
UPI,22871,Y, 
Internet Banking,74581,N,Invalid UPI Account
Wallet,31009,N,Invalid Internet Banking Account
UPI,53033,N,Invalid CVV
Wallet,42049,Y, 
Internet Banking,46489,N,Invalid UPI Account
UPI,73235,N,Invalid CVV
Wallet,96819,N,Invalid Card
Card,27229,N,Invalid Card
Internet Banking,54272,Y, 
Internet Banking,60265,Y, 
Card,51294,N,Invalid Card
UPI,22851,N,Invalid UPI Account
Internet Banking,84636,N,Invalid CVV
Card,67478,Y, 
UPI,14880,Y, 
Internet Banking,12376,N,Invalid CVV
UPI,18934,Y, 
Wallet,90870,Y, 
Wallet,27645,N,Invalid Card
Internet Banking,38788,Y, 
Internet Banking,47809,Y, 
Wallet,15192,N,Invalid CVV
UPI,45043,N,Invalid Internet Banking Account
UPI,36557,Y, 
Internet Banking,67803,Y, 
Card,52182,Y, 
Internet Banking,81043,N,Invalid Internet Banking Account
Card,32496,N,Invalid Card
UPI,57405,N,Invalid Internet Banking Account
UPI,81427,Y, 
Internet Banking,61309,Y, 
UPI,88790,N,Invalid Internet Banking Account
UPI,44799,Y, 
UPI,47245,N,Invalid Card
UPI,26617,N,Invalid Card
UPI,92958,Y, 
Card,65254,Y, 
Wallet,56104,N,Invalid Card
UPI,21202,N,Invalid CVV
Card,22543,N,Invalid UPI Account
UPI,50571,Y, 
UPI,32983,Y, 
Card,47044,N,Invalid Internet Banking Account
UPI,84668,N,Invalid Internet Banking Account
Card,91692,N,Invalid CVV
UPI,20075,Y, 
Internet Banking,53624,N,Invalid CVV
UPI,62945,N,Invalid UPI Account
UPI,96959,Y, 
Wallet,47410,Y, 
Card,77800,N,Invalid Card
Internet Banking,25164,N,Invalid Internet Banking Account
UPI,14581,N,Invalid CVV
Internet Banking,31312,N,Invalid Card
Wallet,51654,N,Invalid CVV
Card,14129,N,Invalid CVV
Wallet,31879,N,Invalid CVV
Internet Banking,65951,Y, 
Internet Banking,74928,N,Invalid Internet Banking Account
Card,68769,Y, 
Internet Banking,50795,N,Invalid Internet Banking Account
Internet Banking,55059,Y, 
Card,31400,Y, 
Wallet,23690,Y, 
Card,55476,N,Invalid UPI Account
Internet Banking,96028,N,Invalid CVV
Internet Banking,37837,N,Invalid Internet Banking Account
Wallet,95847,Y, 
UPI,57519,N,Invalid UPI Account
Wallet,67507,N,Invalid CVV
Internet Banking,53740,Y, 
UPI,36558,N,Invalid Internet Banking Account
UPI,14204,N,Invalid Internet Banking Account
Internet Banking,10483,N,Invalid Card
Wallet,36250,Y, 
UPI,30406,Y, 
UPI,24707,N,Invalid UPI Account
Card,12062,Y, 
Card,35585,N,Invalid Internet Banking Account
Internet Banking,94647,Y, 
Internet Banking,17181,Y, 
Wallet,38028,N,Invalid UPI Account
Internet Banking,28237,N,Invalid Internet Banking Account
Card,92028,Y, 
Wallet,28453,N,Invalid Card
UPI,62146,Y, 
Wallet,23537,Y, 
UPI,69254,N,Invalid Internet Banking Account
Wallet,75223,Y, 
Internet Banking,39539,Y, 
Card,25649,Y, 
Card,24686,N,Invalid Internet Banking Account
Card,22204,Y, 
Card,42080,N,Invalid Card
Internet Banking,72757,N,Invalid CVV
UPI,18326,N,Invalid Internet Banking Account
UPI,92439,Y, 
Card,53317,N,Invalid Card
Card,71146,N,Invalid Internet Banking Account
Wallet,23387,N,Invalid Card
Card,94349,Y, 
UPI,98482,N,Invalid Internet Banking Account
UPI,61568,N,Invalid CVV
Internet Banking,85780,Y, 
Card,94618,N,Invalid UPI Account
Wallet,51966,Y, 
Card,59930,Y, 
Wallet,90134,Y, 
Internet Banking,10577,Y, 
Wallet,94904,Y, 
Card,16143,Y, 
Card,21507,N,Invalid UPI Account
Card,43304,Y, 
Card,92013,N,Invalid Internet Banking Account
Internet Banking,34656,N,Invalid Internet Banking Account
Internet Banking,28283,N,Invalid UPI Account
Wallet,68229,N,Invalid Card
Internet Banking,75561,Y, 
UPI,74027,Y, 
Internet Banking,58296,N,Invalid Card
Wallet,77046,N,Invalid Card
Wallet,29297,Y, 
Wallet,49488,N,Invalid CVV
Wallet,26619,Y, 
UPI,94468,Y, 
Card,74987,Y, 
Card,90332,Y, 
Card,20226,N,Invalid UPI Account
UPI,33946,Y, 
Wallet,46506,N,Invalid CVV
UPI,81854,N,Invalid CVV
Wallet,16611,Y, 
Wallet,36769,N,Invalid UPI Account
Wallet,84244,N,Invalid UPI Account
Wallet,70273,Y, 
Card,83993,Y, 
UPI,40530,Y, 
Wallet,94274,Y, 
Internet Banking,37403,N,Invalid Internet Banking Account
Card,64500,Y, 
UPI,92548,Y, 
Card,60312,Y, 
Wallet,93732,Y, 
Internet Banking,96213,Y, 
Internet Banking,44682,N,Invalid Card
UPI,11219,N,Invalid Internet Banking Account
Internet Banking,67793,N,Invalid CVV
UPI,57682,N,Invalid UPI Account
Internet Banking,46521,Y, 
Wallet,27248,Y, 
UPI,88905,N,Invalid CVV
UPI,73763,N,Invalid CVV
Internet Banking,63085,N,Invalid CVV
Internet Banking,54463,Y, 
Card,96286,N,Invalid Internet Banking Account
UPI,56818,N,Invalid Internet Banking Account
Internet Banking,86390,Y, 
Internet Banking,67391,N,Invalid Internet Banking Account
UPI,97456,Y, 
UPI,57830,N,Invalid Internet Banking Account
Card,38370,Y, 
UPI,60727,N,Invalid Card
Card,70371,Y, 
Card,39520,N,Invalid UPI Account
Internet Banking,83244,Y, 
Card,89273,Y, 
UPI,79876,N,Invalid Card
Wallet,85572,N,Invalid Card
Card,97360,N,Invalid Card
Internet Banking,55751,N,Invalid Card
UPI,18493,Y, 
Card,12033,N,Invalid Internet Banking Account
Wallet,59446,N,Invalid Internet Banking Account
Card,44977,N,Invalid CVV
Card,94199,N,Invalid Internet Banking Account
Wallet,95426,Y, 
Card,71649,Y, 
Internet Banking,66174,N,Invalid Internet Banking Account
Wallet,55521,N,Invalid CVV
Internet Banking,56655,N,Invalid UPI Account
Card,61061,N,Invalid Internet Banking Account
Card,52099,Y, 
Card,22242,N,Invalid UPI Account
Wallet,20367,N,Invalid Card
Wallet,82052,Y, 
Wallet,14294,Y, 
Wallet,42153,N,Invalid CVV
Internet Banking,28398,Y, 
Internet Banking,26650,N,Invalid Internet Banking Account
UPI,15882,Y, 
Card,95197,N,Invalid Internet Banking Account
UPI,91094,N,Invalid Card
UPI,97307,N,Invalid Card
UPI,85901,N,Invalid UPI Account
UPI,20013,N,Invalid UPI Account
UPI,48212,N,Invalid UPI Account
Card,12942,Y, 
Wallet,31117,N,Invalid Card
Card,72259,N,Invalid UPI Account
Internet Banking,86803,Y, 
Card,94243,Y, 
Card,64940,Y, 
Card,98412,Y, 
Card,56923,Y, 
Card,51720,Y, 
Wallet,16261,N,Invalid CVV
Wallet,73459,N,Invalid Card
UPI,57777,N,Invalid CVV
Card,42465,Y, 
Internet Banking,28071,Y, 
UPI,43401,Y, 
Card,55033,Y, 
Wallet,13543,Y, 
Wallet,85236,Y, 
Wallet,98961,Y, 
UPI,53502,N,Invalid CVV
Internet Banking,29521,N,Invalid UPI Account
Wallet,44136,N,Invalid UPI Account
Card,19633,N,Invalid Card
Wallet,87876,N,Invalid Card
Card,15757,Y, 
Card,63111,N,Invalid Internet Banking Account
UPI,20873,Y, 
Wallet,86623,Y, 
Card,90826,N,Invalid CVV
Card,44513,Y, 
Wallet,68610,Y, 
Internet Banking,58792,Y, 
UPI,21994,N,Invalid CVV
Card,97111,N,Invalid Internet Banking Account
UPI,17367,N,Invalid Internet Banking Account
UPI,16065,N,Invalid Card
UPI,23861,N,Invalid UPI Account
Wallet,62893,N,Invalid CVV
Card,93449,N,Invalid Internet Banking Account
Card,48465,Y, 
UPI,88793,N,Invalid UPI Account
UPI,89817,N,Invalid Card
Wallet,22797,N,Invalid Card
Wallet,64917,Y, 
Card,42620,Y, 
UPI,88923,Y, 
Card,62513,N,Invalid CVV
Internet Banking,78868,Y, 
Card,89722,N,Invalid UPI Account
UPI,28770,N,Invalid CVV
Card,93260,N,Invalid UPI Account
UPI,88919,N,Invalid Internet Banking Account
Internet Banking,70364,N,Invalid Card
UPI,74176,Y, 
Wallet,88210,N,Invalid CVV
Wallet,59614,N,Invalid UPI Account
UPI,46323,Y, 
Internet Banking,59744,Y, 
UPI,52594,Y, 
Internet Banking,84473,Y, 
Internet Banking,43468,N,Invalid Card
Wallet,31737,Y, 
Internet Banking,89778,Y, 
Wallet,46783,N,Invalid UPI Account
Internet Banking,70263,Y, 
Card,58361,Y, 
Wallet,48179,N,Invalid CVV
Card,67088,N,Invalid UPI Account
UPI,32034,Y, 
UPI,39013,Y, 
Wallet,24423,N,Invalid Card
UPI,40054,Y, 
UPI,33246,Y, 
Internet Banking,59605,N,Invalid CVV
Internet Banking,34583,N,Invalid Card
Internet Banking,61951,Y, 
UPI,81667,N,Invalid Internet Banking Account
UPI,55963,Y, 
Wallet,62057,N,Invalid CVV
UPI,97524,N,Invalid CVV
Internet Banking,27364,N,Invalid UPI Account
UPI,72314,Y, 
Wallet,31931,Y, 
Card,97676,Y, 
Wallet,76651,N,Invalid CVV
Internet Banking,65465,Y, 
UPI,85777,Y, 
UPI,18760,Y, 
Wallet,13104,N,Invalid Card
Internet Banking,29720,N,Invalid UPI Account
Internet Banking,10062,Y, 
Internet Banking,73158,Y, 
Card,32846,N,Invalid Card
Card,26133,Y, 
Wallet,62606,N,Invalid CVV
Wallet,22560,Y, 
Card,20330,N,Invalid CVV
Card,58881,Y, 
Wallet,76638,Y, 
Card,31838,N,Invalid Internet Banking Account
UPI,39076,N,Invalid UPI Account
Internet Banking,72491,Y, 
Card,49375,Y, 
Card,37803,N,Invalid UPI Account
Wallet,28436,Y, 
Card,17739,N,Invalid Card
Card,21594,Y, 
Internet Banking,61639,N,Invalid UPI Account
UPI,44324,N,Invalid CVV
Card,64767,N,Invalid Card
UPI,25327,N,Invalid Card
Card,32240,N,Invalid Internet Banking Account
Internet Banking,97909,Y, 
Wallet,83521,N,Invalid UPI Account
UPI,54333,Y, 
UPI,32377,Y, 
